category,question
Content and quality questions,"Does the content provide original information, reporting, research, or analysis?"
Content and quality questions,"Does the content provide a substantial, complete, or comprehensive description of the topic?"
Content and quality questions,Does the content provide insightful analysis or interesting information that is beyond the obvious?
Content and quality questions,"If the content draws on other sources, does it avoid simply copying or rewriting those sources, and instead provide substantial additional value and originality?"
Content and quality questions,"Does the main heading or page title provide a descriptive, helpful summary of the content?"
Content and quality questions,Does the main heading or page title avoid exaggerating or being shocking in nature?
Content and quality questions,"Is this the sort of page you'd want to bookmark, share with a friend, or recommend?"
Content and quality questions,"Would you expect to see this content in or referenced by a printed magazine, encyclopedia, or book?"
Content and quality questions,Does the content provide substantial value when compared to other pages in search results?
Content and quality questions,Does the content have any spelling or stylistic issues?
Content and quality questions,"Is the content produced well, or does it appear sloppy or hastily produced?"
Content and quality questions,"Is the content mass-produced by or outsourced to a large number of creators, or spread across a large network of sites, so that individual pages or sites don't get as much attention or care?"
Expertise questions,"Does the content present information in a way that makes you want to trust it, such as clear sourcing, evidence of the expertise involved, background about the author or the site that publishes it, such as through links to an author page or a site's About page?"
Expertise questions,"If someone researched the site producing the content, would they come away with an impression that it is well-trusted or widely-recognized as an authority on its topic?"
Expertise questions,Is this content written or reviewed by an expert or enthusiast who demonstrably knows the topic well?
Expertise questions,Does the content have any easily-verified factual errors?
Focus on people-first content,Do you have an existing or intended audience for your business or site that would find the content useful if they came directly to you?
Focus on people-first content,"Does your content clearly demonstrate first-hand expertise and a depth of knowledge (for example, expertise that comes from having actually used a product or service, or visiting a place)?"
Focus on people-first content,Does your site have a primary purpose or focus?
Focus on people-first content,"After reading your content, will someone leave feeling they've learned enough about a topic to help achieve their goal?"
Focus on people-first content,Will someone reading your content leave feeling like they've had a satisfying experience?
Avoid creating search engine-first content,Is the content primarily made to attract visits from search engines?
Avoid creating search engine-first content,Are you producing lots of content on many different topics in hopes that some of it might perform well in search results?
Avoid creating search engine-first content,Are you using extensive automation to produce content on many topics?
Avoid creating search engine-first content,Are you mainly summarizing what others have to say without adding much value?
Avoid creating search engine-first content,Are you writing about things simply because they seem trending and not because you'd write about them otherwise for your existing audience?
Avoid creating search engine-first content,Does your content leave readers feeling like they need to search again to get better information from other sources?
Avoid creating search engine-first content,"Are you writing to a particular word count because you've heard or read that Google has a preferred word count? (No, we don't.)"
Avoid creating search engine-first content,"Did you decide to enter some niche topic area without any real expertise, but instead mainly because you thought you'd get search traffic?"
Avoid creating search engine-first content,"Does your content promise to answer a question that actually has no answer, such as suggesting there's a release date for a product, movie, or TV show when one isn't confirmed?"
Avoid creating search engine-first content,Are you changing the date of pages to make them seem fresh when the content has not substantially changed?
Avoid creating search engine-first content,"Are you adding a lot of new content or removing a lot of older content primarily because you believe it will help your search rankings overall by somehow making your site seem ""fresh?"" (No, it won't)"
Who (created the content),Is it self-evident to your visitors who authored your content?
Who (created the content),"Do pages carry a byline, where one might be expected?"
Who (created the content),"Do bylines lead to further information about the author or authors involved, giving background about them and the areas they write about?"
How (the content was created),"Is the use of automation, including AI-generation, self-evident to visitors through disclosures or in other ways?"
How (the content was created),Are you providing background about how automation or AI-generation was used to create content?
How (the content was created),Are you explaining why automation or AI was seen as useful to produce content?
